corp_code,corp_name,corp_name_norm,stock_code,source
00432661,파워외환카드제삼차유동화전문유한회사,파워외환카드제삼차유동화전문유한회사,,DART:corpCode
00430858,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사,,DART:corpCode
00432670,서상금속,서상금속,,DART:corpCode
00434827,세이한가족주식형펀드,세이한가족주식형펀드,,DART:corpCode
00434872,알파크레디트플러스채권형펀드,알파크레디트플러스채권형펀드,,DART:corpCode
00434881,알파국공채채권형사모펀드,알파국공채채권형사모펀드,,DART:corpCode
00434906,세이에이스알파혼합형펀드,세이에이스알파혼합형펀드,,DART:corpCode
00434915,맥쿼리IMM코리아플러스채권형펀드,맥쿼리IMM코리아플러스채권형펀드,,DART:corpCode
00434924,맥쿼리IMM마켓뉴트럴혼합형사모펀드,맥쿼리IMM마켓뉴트럴혼합형사모펀드,,DART:corpCode
00434933,세이원채권형펀드,세이원채권형펀드,,DART:corpCode
00435093,그레이터차이나1호사모펀드,그레이터차이나1호사모펀드,,DART:corpCode
00435109,윌러스,윌러스,,DART:corpCode
00431820,디베스트사모엠엔에이펀드일호,디베스트사모엠엔에이펀드일호,,DART:corpCode
00398525,미래에셋프리미어전환혼합형이호펀드,미래에셋프리미어전환혼합형이호펀드,,DART:corpCode
00260967,디지텔,디지텔,,DART:corpCode
00378956,유리세이프롱숏채권혼합형펀드,유리세이프롱숏채권혼합형펀드,,DART:corpCode
00164104,리젠트화재보험,리젠트화재보험,,DART:corpCode
00101266,경남리스금융,경남리스금융,,DART:corpCode
00412834,굿머니,굿머니,,DART:corpCode
00226343,한소닉테크,한소닉테크,,DART:corpCode
00150147,지산개발,지산개발,,DART:corpCode
00416937,지구환경산업,지구환경산업,,DART:corpCode
00132497,성도통상,성도통상,,DART:corpCode
00216461,에프샵,에프샵,,DART:corpCode
00369301,근영전자통신,근영전자통신,,DART:corpCode
00360106,보해주정,보해주정,,DART:corpCode
00410483,윈스텍,윈스텍,,DART:corpCode
00409928,조한도시개발,조한도시개발,,DART:corpCode
00209647,대웅전기산업,대웅전기산업,,DART:corpCode
00370316,해피라인,해피라인,,DART:corpCode
00134246,세원건설,세원건설,,DART:corpCode
00444806,린나이씨에스,린나이씨에스,,DART:corpCode
00233112,성우전자,성우전자,,DART:corpCode
00450986,미도산업개발,미도산업개발,,DART:corpCode
00442206,덕성섬유,덕성섬유,,DART:corpCode
00361664,기흥종합건설,기흥종합건설,,DART:corpCode
00370334,이에이치상사,이에이치상사,,DART:corpCode
00432616,웨이브티브이,웨이브티브이,,DART:corpCode
00405436,유니크,유니크,,DART:corpCode
00414319,송학장갑,송학장갑,,DART:corpCode
00261610,위트비전,위트비전,,DART:corpCode
00362432,월드무역,월드무역,,DART:corpCode
00415293,오픈테크,오픈테크,,DART:corpCode
00413204,아피아,아피아,,DART:corpCode
00413277,차세대정보통신,차세대정보통신,,DART:corpCode
00268455,조흥신탁유동화전문회사,조흥신탁유동화전문회사,,DART:corpCode
00273606,오토일천구백구십구의일유동화전문유한회사,오토일천구백구십구의일유동화전문유한회사,,DART:corpCode
00303369,한국토지신탁제이차유동화전문유한회사,한국토지신탁제이차유동화전문유한회사,,DART:corpCode
00317043,포커스제1차유동화전문유한회사,포커스제1차유동화전문유한회사,,DART:corpCode
00328517,베스트이지제일차유동화전문유한회사,베스트이지제일차유동화전문유한회사,,DART:corpCode
00341776,모비스코람유동화전문유한회사,모비스코람유동화전문유한회사,,DART:corpCode
00362131,아이에스피,아이에스피,,DART:corpCode
00427492,한실흥산,한실흥산,,DART:corpCode
00363413,아이티엔방송,아이티엔방송,,DART:corpCode
00302829,슈퍼데크코리아,슈퍼데크코리아,,DART:corpCode
00426758,산은부동산제오차유동화전문유한회사,산은부동산제오차유동화전문유한회사,,DART:corpCode
00427474,덕화산업,덕화산업,,DART:corpCode
00428695,국민카드이천이의일유동화전문유한회사,국민카드이천이의일유동화전문유한회사,,DART:corpCode
00366508,마일스톤벤처투자,마일스톤벤처투자,,DART:corpCode
00402208,에스비아이코리아,에스비아이코리아,,DART:corpCode
00175021,씨티은행,씨티은행,,DART:corpCode
00429250,AllianzFinanceB.V.,ALLIANZFINANCEB.V.,,DART:corpCode
00425777,동의보감유동화전문유한회사,동의보감유동화전문유한회사,,DART:corpCode
00109125,세화기술투자,세화기술투자,,DART:corpCode
00388810,미래에셋프리미어혼합형펀드,미래에셋프리미어혼합형펀드,,DART:corpCode
00383426,마이다스차익거래안정혼합형펀드,마이다스차익거래안정혼합형펀드,,DART:corpCode
00146676,아이씨켐,아이씨켐,,DART:corpCode
00338152,소프트윈,소프트윈,,DART:corpCode
00438902,신하나로유동화전문유한회사,신하나로유동화전문유한회사,,DART:corpCode
00432856,벽산건설블루밍제일차유동화전문유한회사,벽산건설블루밍제일차유동화전문유한회사,,DART:corpCode
